T27,Gross domestic expenditure on research and development (R&D),,,,,
620,Portugal,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.2426,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2015,Gross domestic expenditure on R & D: Business enterprises (%),42.6528,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2015,Gross domestic expenditure on R & D: Government (%),44.2982,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2015,Gross domestic expenditure on R & D: Higher education (%),4.3925,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2015,Gross domestic expenditure on R & D: Private non-profit (%),1.2827,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2015,Gross domestic expenditure on R & D: Funds from abroad (%),7.3737,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3283,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2017,Gross domestic expenditure on R & D: Business enterprises (%),46.5136,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2017,Gross domestic expenditure on R & D: Government (%),41.0400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2017,Gross domestic expenditure on R & D: Higher education (%),3.9096,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2017,Gross domestic expenditure on R & D: Private non-profit (%),1.2208,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2017,Gross domestic expenditure on R & D: Funds from abroad (%),7.3160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
620,Portugal,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3655,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
630,Puerto Rico,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4513,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
630,Puerto Rico,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4288,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
630,Puerto Rico,2015,Gross domestic expenditure on R & D: Business enterprises (%),69.4338,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
630,Puerto Rico,2015,Gross domestic expenditure on R & D: Government (%),23.0995,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
630,Puerto Rico,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.2933,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
630,Puerto Rico,2015,Gross domestic expenditure on R & D: Not distributed (%),0.5640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5188,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2015,Gross domestic expenditure on R & D: Business enterprises (%),7.0574,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2015,Gross domestic expenditure on R & D: Government (%),42.6113,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2015,Gross domestic expenditure on R & D: Private non-profit (%),27.8448,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2015,Gross domestic expenditure on R & D: Funds from abroad (%),1.8527,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2015,Gross domestic expenditure on R & D: Not distributed (%),0.0380,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5073,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2018,Gross domestic expenditure on R & D: Business enterprises (%),9.2540,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2018,Gross domestic expenditure on R & D: Government (%),32.4092,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2018,Gross domestic expenditure on R & D: Private non-profit (%),12.6749,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2018,Gross domestic expenditure on R & D: Funds from abroad (%),0.5060,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
634,Qatar,2018,Gross domestic expenditure on R & D: Not distributed (%),0.0349,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.6262,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2005,Gross domestic expenditure on R & D: Business enterprises (%),74.9597,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2005,Gross domestic expenditure on R & D: Government (%),23.0248,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2005,Gross domestic expenditure on R & D: Higher education (%),0.9058,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.4001,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2005,Gross domestic expenditure on R & D: Funds from abroad (%),0.7097,Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.4659,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2010,Gross domestic expenditure on R & D: Business enterprises (%),71.8042,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2010,Gross domestic expenditure on R & D: Government (%),26.7468,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2010,Gross domestic expenditure on R & D: Higher education (%),0.8520,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.3804,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2010,Gross domestic expenditure on R & D: Funds from abroad (%),0.2166,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),4.2170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2015,Gross domestic expenditure on R & D: Business enterprises (%),74.5459,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2015,Gross domestic expenditure on R & D: Government (%),23.6632,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2015,Gross domestic expenditure on R & D: Higher education (%),0.6439,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.3953,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2015,Gross domestic expenditure on R & D: Funds from abroad (%),0.7518,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),4.8101,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2018,Gross domestic expenditure on R & D: Business enterprises (%),76.6403,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2018,Gross domestic expenditure on R & D: Government (%),20.5346,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2018,Gross domestic expenditure on R & D: Higher education (%),0.5756,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2018,Gross domestic expenditure on R & D: Private non-profit (%),0.3098,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
410,Republic of Korea,2018,Gross domestic expenditure on R & D: Funds from abroad (%),1.9398,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3987,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2005,Gross domestic expenditure on R & D: Funds from abroad (%),3.7975,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2005,Gross domestic expenditure on R & D: Not distributed (%),96.2025,Including other classes.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3665,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2010,Gross domestic expenditure on R & D: Funds from abroad (%),7.3688,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2010,Gross domestic expenditure on R & D: Not distributed (%),92.6313,Including other classes.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3094,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2015,Gross domestic expenditure on R & D: Funds from abroad (%),11.6408,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2015,Gross domestic expenditure on R & D: Not distributed (%),88.3592,Including other classes.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2769,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2016,Gross domestic expenditure on R & D: Funds from abroad (%),4.1770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2016,Gross domestic expenditure on R & D: Not distributed (%),95.8230,Including other classes.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2550,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2018,Gross domestic expenditure on R & D: Business enterprises (%),15.5005,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2018,Gross domestic expenditure on R & D: Government (%),76.7183,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2018,Gross domestic expenditure on R & D: Higher education (%),2.8277,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
498,Republic of Moldova,2018,Gross domestic expenditure on R & D: Funds from abroad (%),4.9536,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4126,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2005,Gross domestic expenditure on R & D: Business enterprises (%),37.2294,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2005,Gross domestic expenditure on R & D: Government (%),53.5003,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2005,Gross domestic expenditure on R & D: Higher education (%),3.9928,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.0233,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2005,Gross domestic expenditure on R & D: Funds from abroad (%),5.2541,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4569,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2010,Gross domestic expenditure on R & D: Business enterprises (%),32.2696,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2010,Gross domestic expenditure on R & D: Government (%),54.3979,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2010,Gross domestic expenditure on R & D: Higher education (%),2.1685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.0383,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.1257,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4879,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2015,Gross domestic expenditure on R & D: Business enterprises (%),37.2915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2015,Gross domestic expenditure on R & D: Government (%),41.6919,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2015,Gross domestic expenditure on R & D: Higher education (%),1.6975,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.0920,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2015,Gross domestic expenditure on R & D: Funds from abroad (%),19.2272,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5039,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2017,Gross domestic expenditure on R & D: Business enterprises (%),54.4044,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2017,Gross domestic expenditure on R & D: Government (%),35.9305,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2017,Gross domestic expenditure on R & D: Higher education (%),1.7009,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.0417,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2017,Gross domestic expenditure on R & D: Funds from abroad (%),7.9225,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
642,Romania,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5051,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.0680,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2005,Gross domestic expenditure on R & D: Business enterprises (%),30.0040,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2005,Gross domestic expenditure on R & D: Government (%),61.9454,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2005,Gross domestic expenditure on R & D: Higher education (%),0.4260,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.0296,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2005,Gross domestic expenditure on R & D: Funds from abroad (%),7.5949,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.1302,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2010,Gross domestic expenditure on R & D: Business enterprises (%),25.5072,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2010,Gross domestic expenditure on R & D: Government (%),70.3492,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2010,Gross domestic expenditure on R & D: Higher education (%),0.4656,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.1304,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2010,Gross domestic expenditure on R & D: Funds from abroad (%),3.5476,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.1008,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2015,Gross domestic expenditure on R & D: Business enterprises (%),26.4747,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2015,Gross domestic expenditure on R & D: Government (%),69.5180,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2015,Gross domestic expenditure on R & D: Higher education (%),1.1890,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.1713,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2015,Gross domestic expenditure on R & D: Funds from abroad (%),2.6471,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9899,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2018,Gross domestic expenditure on R & D: Business enterprises (%),29.4889,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2018,Gross domestic expenditure on R & D: Government (%),67.0335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2018,Gross domestic expenditure on R & D: Higher education (%),0.8599,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2018,Gross domestic expenditure on R & D: Private non-profit (%),0.2685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
643,Russian Federation,2018,Gross domestic expenditure on R & D: Funds from abroad (%),2.3492,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
646,Rwanda,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6663,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
646,Rwanda,2016,Gross domestic expenditure on R & D: Business enterprises (%),0.6289,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
646,Rwanda,2016,Gross domestic expenditure on R & D: Government (%),64.5443,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
646,Rwanda,2016,Gross domestic expenditure on R & D: Private non-profit (%),0.6927,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
646,Rwanda,2016,Gross domestic expenditure on R & D: Funds from abroad (%),33.7405,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
670,Saint Vincent & Grenadines,2002,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1203,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
